rDeath_M,rBirth_M,pop_m0,r_bitingrate,symptChik,pChikHtM,pChikMtH,humanRecChik,HRChik,pDenHtM,pDenMtH,humanRecDen,symptDenPrim,symptDenSecond,HRDen,limRepeatInfDen,iniInfHAsympChik,inInfHSymptChik,iniInfMChik,iniInfHAsympDen,inInfHSymptDen,iniInfMDen,GOF Error
0.23171,0.16661,6.44E+07,2.772,0.013898,0.11629,0.36265,0.3,1.4989,0.1,0.33289,0.42282,0.84487,0.96141,4.422,3.34E-10,1629,1044.6,13767,2964.3,3618.3,9268.4,24602
0.23171,0.16661,6.44E+07,2.772,0.013898,0.11629,0.36265,0.3,1.4989,0.1,0.33289,0.42282,0.84487,0.96141,4.422,3.34E-10,1629,1044.6,13767,2964.3,3618.3,9268.4,24602
0.73699,0.65996,2.69E+07,2.7986,0.04068,0.10615,0.89999,0.49468,1.7969,0.41249,0.15319,0.59586,0.99924,0.99924,5.8825,0.88599,2232.1,4034.4,15753,1452.5,1.572,1036.3,24675
0.067414,0.00013638,4.53E+07,0.94266,0.013499,0.40665,0.9,0.54298,1.8238,0.56258,0.14761,0.6201,0.0088832,1,6.0285,0.36985,5000,1218.1,6320.7,4390.8,3161.2,12291,24770
0.077722,1.33E-08,6.47E+07,2.0021,0.020146,0.1,0.53245,0.30001,1.5047,0.19206,0.16767,0.69029,0.99997,0.99998,6.5279,0.09308,4772.3,4766.8,6676.4,1905.1,2864.3,6848.6,24776
0.026871,0.033851,1.15E+07,2.5568,0.0093735,0.1,0.743,0.48473,1.8069,0.49134,0.12813,0.7,0.0021791,0.4663,6.6426,0.0012682,3359.1,4102.3,3783.1,2760.1,686.36,11209,24857
0.10336,0.083356,9.33E+06,1.5728,0.010426,0.43537,0.47525,0.69991,2.1488,0.12389,0.65723,0.4093,1.42E-06,0.009269,4.3296,0.93182,813.53,4271.1,10799,2980.8,1682.6,9570.8,24879
0.24787,0.1981,1.95E+07,2.1709,0.014472,0.20432,0.47592,0.42223,1.7082,0.10123,0.83194,0.55491,0.3564,0.54661,5.5361,0.029181,3011.7,2086.9,15449,4714.2,159.4,6278.3,25048
0.070763,0.00014172,3.10E+07,2.0201,0.01189,0.49188,0.16026,0.67902,2.1411,0.13313,0.10627,0.68256,0.72491,0.91349,6.528,0.88046,4699.2,4704.4,5588.1,1862.7,2269.6,6522.4,25138
0.37913,0.30778,3.87E+07,3.1875,0.01717,0.20689,0.25771,0.55498,1.9311,0.30684,0.10816,0.69162,0.32186,0.76134,6.6048,0.68126,624.92,3078.4,7840.3,246.61,1393.4,3933.9,25150
0.80074,0.72846,6.02E+07,4.2767,0.019629,0.14142,0.3332,0.59089,1.9922,0.36199,0.15875,0.51489,0.58019,0.59061,5.1595,6.16E-06,2176.3,4966.7,16169,1056.7,1918.3,5803.6,25160
0.1055,0.033786,9.55E+07,2.5265,0.013623,0.1,0.48985,0.54086,1.9067,0.11331,0.12646,0.39168,0.54944,0.96062,4.1756,0.14759,2872.8,4999.9,17864,1640.3,2893.5,17375,25231
0.13773,0.068988,5.50E+07,1.5354,0.013098,0.28614,0.38746,0.3,1.504,0.2185,0.41896,0.59756,0.95839,0.95841,5.8511,0.0036393,2634,1090.3,9726.7,4796.6,1864.3,6862.6,25283
0.57436,0.50976,6.76E+07,3.702,0.013705,0.13743,0.25711,0.3,1.503,0.33145,0.10545,0.5685,0.16814,0.17168,5.5823,0.51072,3628.9,4828.9,11959,4.7408,820.1,17087,25320
0.078553,0.0005124,6.53E+07,1.1088,0.01878,0.20815,0.8785,0.3,1.5039,0.60934,0.10088,0.3806,0.44369,0.97396,4.0516,0.070384,2978.8,4291.1,4083.6,1041.7,197,11431,25446
0.41495,0.34726,4.51E+07,2.8374,0.016484,0.28015,0.26466,0.69991,2.0519,0.34786,0.16209,0.4263,0.53339,0.60535,4.4925,0.0073045,518.31,4999.9,20000,172.93,4916,6728.4,25482
0.56485,0.50083,4.41E+06,3.1759,0.062666,0.1763,0.23783,0.3,1.4832,0.64847,0.1,0.48777,0.93342,0.93557,5.1785,0.071317,5000,5000,9064.6,133.71,750.86,2401.5,25640
